financebench_id,closedBook,inContext,inContext_reverse,oracle,oracle_reverse,sharedStore,singleStore
financebench_id_00080,R,R,R,I,I,R,R
financebench_id_00283,R,I,I,I,I,I,I
financebench_id_00394,I,I,C,C,C,R,R
financebench_id_00438,R,I,I,C,C,R,C
financebench_id_00517,R,I,I,C,I,I,I
financebench_id_00591,R,R,I,I,C,R,R
financebench_id_00684,R,C,C,C,C,I,C
financebench_id_01091,C,C,C,C,C,C,C
financebench_id_01490,I,C,C,C,C,C,C
financebench_id_01902,R,I,I,C,C,I,C
financebench_id_02987,R,R,R,C,C,R,R
financebench_id_03882,R,C,C,C,C,R,R
financebench_id_04103,R,I,I,I,I,R,R
financebench_id_04302,R,C,C,C,C,C,C
financebench_id_04700,I,C,C,C,C,I,I
financebench_id_04735,R,R,R,C,C,R,R
financebench_id_05915,R,R,R,C,C,R,R
financebench_id_08286,R,C,C,C,C,C,C
financebench_id_09724,R,R,R,C,C,C,C
financebench_id_10136,R,C,C,C,C,C,C
