financebench_id,closedBook,inContext,inContext_reverse,oracle,oracle_reverse,sharedStore,singleStore
financebench_id_00080,I,I,R,I,I,I,R
financebench_id_00283,I,I,I,I,I,I,I
financebench_id_00394,C,I,I,C,I,R,R
financebench_id_00438,R,C,I,C,C,R,I
financebench_id_00517,I,C,C,I,I,I,I
financebench_id_00591,R,I,I,I,I,R,R
financebench_id_00684,R,C,C,C,C,R,C
financebench_id_01091,R,R,R,C,C,R,R
financebench_id_01490,I,C,C,C,C,C,C
financebench_id_01902,I,I,I,C,C,R,C
financebench_id_02987,R,R,R,I,I,R,R
financebench_id_03882,R,C,C,C,C,R,R
financebench_id_04103,I,I,I,I,I,R,R
financebench_id_04302,I,C,C,C,C,C,C
financebench_id_04700,I,C,C,C,C,R,R
financebench_id_04735,R,I,R,C,C,R,R
financebench_id_05915,R,I,I,C,C,R,R
financebench_id_08286,C,C,C,C,C,C,C
financebench_id_09724,R,R,R,C,C,C,C
financebench_id_10136,I,C,C,C,C,R,R
